"NF5488A5 (8x A100-SXM-80GB, TensorRT)"	A100-SXM-80GBx8_TRT	Inspur	closed	datacenter	available	1	AMD EPYC 7713	2	64					2 TB	3.5TB*4 + 894.3GB	NVMe SSD + M.2			8	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0"
"NF5488A5 (8x A100-SXM-80GB, TensorRT, Triton)"	A100-SXM-80GBx8_TRT	Inspur	closed	datacenter	available	1	AMD EPYC 7713	2	64					2 TB	3.5TB*4 + 894.3GB	NVMe SSD + M.2			8	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0, Triton 22.01"
"NF5688M6 (8x A100-SXM-80GB, TensorRT)"	A100-SXM-80GBx8_TRT	Inspur	closed	datacenter	available	1	Intel(R) Xeon(R) Platinum 8358	2	32					2 TB	3.5TB*4 + 447.1GB*2	NVMe SSD + M.2			8	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0"
"NF5688M6 (8x A100-SXM-80GB, TensorRT, Triton)"	A100-SXM-80GBx8_TRT	Inspur	closed	datacenter	available	1	Intel(R) Xeon(R) Platinum 8358	2	32					2 TB	3.5TB*4 + 447.1GB*2	NVMe SSD + M.2			8	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0, Triton 22.01"
"NF5468M6J (24x A100-PCIe, TensorRT)"	A100-PCIe	Inspur	closed	datacenter	rdi	1	Intel(R) Xeon(R) Platinum 8380	2	40					1 TB	2.9TB*4 + 893.3GB	NVMe SSD			24	NVIDIA A100-PCIe					80 GB					"TensorRT 8.4.2, CUDA 11.6"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.6, cuDNN 8.4.1, Driver 510.47.03, DALI 0.31.0"
"NF5488A5 (1x A100-SXM-80GB, TensorRT)"	A100-SXM-80GBx8_TRT	Inspur	closed	edge	available	1	AMD EPYC 7713	2	64					2 TB	3.5TB*4 + 894.3GB	NVMe SSD + M.2			1	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0"
"NF5488A5 (1x A100-SXM-80GB, TensorRT, Triton)"	A100-SXM-80GBx8_TRT	Inspur	closed	edge	available	1	AMD EPYC 7713	2	64					2 TB	3.5TB*4 + 894.3GB	NVMe SSD + M.2			1	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0, Triton 22.01"
"NF5688M6 (1x A100-SXM-80GB, TensorRT)"	A100-SXM-80GBx8_TRT	Inspur	closed	edge	available	1	Intel(R) Xeon(R) Platinum 8358	2	32					2 TB	3.5TB*4 + 447.1GB*2	NVMe SSD + M.2			1	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0"
"NF5688M6 (1x A100-SXM-80GB, TensorRT, Triton)"	A100-SXM-80GBx8_TRT	Inspur	closed	edge	available	1	Intel(R) Xeon(R) Platinum 8358	2	32					2 TB	3.5TB*4 + 447.1GB*2	NVMe SSD + M.2			1	NVIDIA A100-SXM-80GB					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0, Triton 22.01"
"NE5260M5 (2x A100-PCIe, TensorRT)"	A100-PCIe	Inspur	closed	edge	available	1	Intel(R) Xeon(R) Gold 6258R	2	28					1 TB	2.9 TB + 894.3GB	NVMe SSD			2	NVIDIA A100-PCIe					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0"
"NE5260M5 (2x A100-PCIe, TensorRT, Triton)"	A100-PCIe	Inspur	closed	edge	available	1	Intel(R) Xeon(R) Gold 6258R	2	28					1 TB	2.9 TB*2	NVMe SSD			2	NVIDIA A100-PCIe					80 GB					"TensorRT 8.4.2, CUDA 11.7"	Ubuntu 20.04.2	"TensorRT 8.4.2, CUDA 11.7, cuDNN 8.4.1, Driver 515.43.04, DALI 0.31.0 , Triton 22.01"
